household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,all_quintiles,1979,1600,500,300,200,600
all_households,all_quintiles,1980,1700,500,300,300,600
all_households,all_quintiles,1981,1700,500,300,200,600
all_households,all_quintiles,1982,1700,500,300,200,600
all_households,all_quintiles,1983,1700,500,300,200,700
all_households,all_quintiles,1984,1700,500,300,300,700
all_households,all_quintiles,1985,1700,500,300,300,700
all_households,all_quintiles,1986,1800,600,300,300,700
all_households,all_quintiles,1987,1800,600,200,300,700
all_households,all_quintiles,1988,1800,600,200,300,700
all_households,all_quintiles,1989,1900,700,200,300,700
all_households,all_quintiles,1990,2100,800,300,300,700
all_households,all_quintiles,1991,2300,900,300,300,700
all_households,all_quintiles,1992,2600,1100,400,400,700
all_households,all_quintiles,1993,2800,1200,400,400,800
all_households,all_quintiles,1994,2800,1200,400,400,800
all_households,all_quintiles,1995,2900,1300,400,400,800
all_households,all_quintiles,1996,2800,1300,300,400,700
all_households,all_quintiles,1997,2700,1300,300,400,600
all_households,all_quintiles,1998,2800,1500,200,400,600
all_households,all_quintiles,1999,2900,1700,200,400,500
all_households,all_quintiles,2000,3000,1800,200,400,500
all_households,all_quintiles,2001,3200,2000,200,400,500
all_households,all_quintiles,2002,3500,2200,200,400,500
all_households,all_quintiles,2003,3700,2400,300,400,600
all_households,all_quintiles,2004,3900,2600,300,400,500
all_households,all_quintiles,2005,3900,2600,300,400,500
all_households,all_quintiles,2006,3800,2400,300,400,600
all_households,all_quintiles,2007,3900,2500,300,400,600
all_households,all_quintiles,2008,4100,2700,400,400,600
all_households,all_quintiles,2009,4700,2900,600,500,700
all_households,all_quintiles,2010,4900,3000,700,500,700
all_households,all_quintiles,2011,5000,3100,700,500,700
all_households,all_quintiles,2012,5100,3200,700,500,700
all_households,all_quintiles,2013,5200,3300,700,500,700
all_households,all_quintiles,2014,5600,3800,600,500,700
all_households,all_quintiles,2015,6100,4300,600,500,800
all_households,all_quintiles,2016,6300,4400,600,500,800
all_households,all_quintiles,2017,6200,4400,600,500,800
all_households,all_quintiles,2018,6200,4600,500,500,700
all_households,all_quintiles,2019,6400,4800,500,500,700
all_households,all_quintiles,2020,10000,5100,700,500,3700
all_households,all_quintiles,2021,9000,5400,900,400,2300
all_households,lowest_quintile,1979,3500,1000,800,400,1400
all_households,lowest_quintile,1980,3500,1000,800,300,1400
all_households,lowest_quintile,1981,3700,1000,1000,300,1400
all_households,lowest_quintile,1982,3800,1000,900,300,1600
all_households,lowest_quintile,1983,4000,1100,1000,300,1700
all_households,lowest_quintile,1984,3800,1000,800,300,1600
all_households,lowest_quintile,1985,4000,1100,800,300,1700
all_households,lowest_quintile,1986,4000,1200,800,300,1700
all_households,lowest_quintile,1987,4500,1300,900,300,1900
all_households,lowest_quintile,1988,4300,1300,900,300,1800
all_households,lowest_quintile,1989,4200,1400,900,300,1700
all_households,lowest_quintile,1990,4400,1500,900,200,1700
